epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,267.822,0.8851,1.04938,0.83236,0.97209,0.8939,0.95833,0.90161,0.75006,0.87213,0.94729,0.89204,0.64263,0.66481,1.16516,0.81653,0.80823,0.0014654,0.0014654,0.0014654
56,272.725,0.88914,1.27601,0.91204,0.97122,0.78326,0.91667,0.87781,0.71738,0.78326,0.91667,0.87781,0.65908,0.67389,0.91963,1.20604,0.80853,0.0014555,0.0014555,0.0014555
57,277.663,0.87556,1.13163,0.8381,0.96581,0.80742,0.8735,0.89098,0.74943,0.80742,0.8735,0.89098,0.68356,0.64647,0.80951,1.10132,0.80825,0.0014456,0.0014456,0.0014456
58,282.576,0.88149,1.10177,0.86209,0.96455,0.88961,0.90278,0.93645,0.78065,0.88961,0.90278,0.93645,0.73432,0.66416,0.82125,0.89147,0.81311,0.0014357,0.0014357,0.0014357
59,287.552,0.80019,1.2089,0.81988,0.97702,0.96623,0.91667,0.951,0.77771,0.96623,0.91667,0.951,0.73394,0.69273,0.82995,0.69785,0.82463,0.0014258,0.0014258,0.0014258
60,292.499,0.89077,1.21158,0.80392,0.98348,0.95736,0.93552,0.95153,0.77754,0.95736,0.93552,0.95153,0.75124,0.72779,0.92009,0.59726,0.84756,0.0014159,0.0014159,0.0014159
61,297.394,0.92009,1.22647,0.90213,0.98471,0.94291,0.91756,0.95012,0.77578,0.94291,0.91756,0.95012,0.73508,0.76288,0.96629,0.61104,0.85844,0.001406,0.001406,0.001406
62,302.015,0.92245,1.22874,0.81627,0.99916,0.94991,0.93056,0.95122,0.78851,0.94991,0.93056,0.9512,0.71918,0.76985,1.00581,0.64617,0.84665,0.0013961,0.0013961,0.0013961
63,306.802,0.94367,1.25065,0.86421,0.98889,0.92461,0.93056,0.93821,0.75524,0.92461,0.93056,0.93815,0.69978,0.79335,1.03974,0.70916,0.86795,0.0013862,0.0013862,0.0013862
64,311.58,0.87571,1.27921,0.78478,1.01659,0.93367,0.90278,0.9418,0.69651,0.94044,0.90278,0.93063,0.66289,0.88596,1.01357,0.75789,0.98227,0.0013763,0.0013763,0.0013763
65,316.427,0.97536,1.19629,0.91498,1.02338,0.95118,0.91667,0.94918,0.71655,0.93904,0.90278,0.93737,0.68116,0.84664,0.99183,0.70667,0.95131,0.0013664,0.0013664,0.0013664
66,321.131,0.86727,1.03959,0.77977,1.00629,0.96996,0.94444,0.95427,0.76896,0.95517,0.93056,0.94329,0.69374,0.76454,0.93745,0.65998,0.88945,0.0013565,0.0013565,0.0013565
67,325.75,0.89465,1.40249,0.81045,0.98872,0.97139,0.94318,0.95342,0.78721,0.97139,0.94318,0.95342,0.69356,0.72187,0.90902,0.62294,0.85718,0.0013466,0.0013466,0.0013466
68,330.298,0.87874,1.12191,0.76068,0.98382,1,0.92749,0.95616,0.79716,1,0.92749,0.95616,0.72944,0.69995,0.86886,0.57982,0.82133,0.0013367,0.0013367,0.0013367
